row_type,model,fold,train_rows,test_rows,rmse,mae,r2,repeat,selected_alpha,metric,mean,std,ci_lower,ci_upper
fold,mean_baseline,r1_f1,332,79,5.016402532709623,3.919639316760714,-0.04800206199530499,1.0,,,,,,
fold,ols,r1_f1,332,79,2.9190869496429803,2.3824218389850227,0.6451282379567553,1.0,,,,,,
fold,ridge_alpha_grid,r1_f1,332,79,2.948010226738537,2.4046367972396356,0.6380610252946867,1.0,10.0,,,,,
fold,knn_k7,r1_f1,332,79,3.5107496286845503,2.9504520795660034,0.4866931056364855,1.0,,,,,,
fold,mean_baseline,r1_f2,333,78,4.044250235702288,3.5401439901439935,-0.2335739596032249,1.0,,,,,,
fold,ols,r1_f2,333,78,4.278641712060809,3.295049858818278,-0.3807053113372987,1.0,,,,,,
fold,ridge_alpha_grid,r1_f2,333,78,4.220079475676768,3.2378329215042543,-0.34316823970436117,1.0,10.0,,,,,
fold,knn_k7,r1_f2,333,78,4.178865241227965,2.9538461538461527,-0.3170609905446058,1.0,,,,,,
fold,mean_baseline,r1_f3,328,83,4.943228866892051,3.720177049662059,-0.13064667410468012,1.0,,,,,,
fold,ols,r1_f3,328,83,4.66900113443625,3.731074401702977,-0.00868005105356029,1.0,,,,,,
fold,ridge_alpha_grid,r1_f3,328,83,4.646161968794146,3.708562406709018,0.001164052434499352,1.0,10.0,,,,,
fold,knn_k7,r1_f3,328,83,4.9133970296813,4.1662650602409625,-0.11704119791148049,1.0,,,,,,
fold,mean_baseline,r1_f4,331,80,5.499974339162539,4.456446374622357,-0.02598372264421256,1.0,,,,,,
fold,ols,r1_f4,331,80,3.698748158214726,2.7239723558161044,0.5359885813594947,1.0,,,,,,
fold,ridge_alpha_grid,r1_f4,331,80,3.693543493821754,2.712451527730103,0.5372935226339406,1.0,10.0,,,,,
fold,knn_k7,r1_f4,331,80,4.302142619956827,3.3869642857142876,0.3722470658437371,1.0,,,,,,
fold,mean_baseline,r1_f5,320,91,4.2395444657163,3.6617994505494504,-0.0016071040174001627,1.0,,,,,,
fold,ols,r1_f5,320,91,2.7647490518775184,2.1941619825942986,0.5740384070589966,1.0,,,,,,
fold,ridge_alpha_grid,r1_f5,320,91,2.786359795829277,2.216781779416081,0.5673532984432221,1.0,10.0,,,,,
fold,knn_k7,r1_f5,320,91,4.585916504488539,3.794348508634222,-0.17195596397234048,1.0,,,,,,
fold,mean_baseline,r2_f1,325,86,4.4916788963710585,3.6011449016100183,-4.789381103220691e-05,2.0,,,,,,
fold,ols,r2_f1,325,86,2.968024243445472,2.2721359375217416,0.5633451539752046,2.0,,,,,,
fold,ridge_alpha_grid,r2_f1,325,86,2.9796161296281225,2.2747526624697594,0.5599277036905894,2.0,10.0,,,,,
fold,knn_k7,r2_f1,325,86,3.8427997130414555,2.7936877076411943,0.2680205383960562,2.0,,,,,,
fold,mean_baseline,r2_f2,333,78,4.765090707843067,3.546550396550397,-0.005875464363209959,2.0,,,,,,
fold,ols,r2_f2,333,78,3.262501647612929,2.5531504952753403,0.5284764918502305,2.0,,,,,,
fold,ridge_alpha_grid,r2_f2,333,78,3.2635173515526,2.5634736219730154,0.5281828504129538,2.0,10.0,,,,,
fold,knn_k7,r2_f2,333,78,4.129808932751745,3.5007326007326003,0.24445247203950438,2.0,,,,,,
fold,mean_baseline,r2_f3,328,83,4.394294369685784,3.444104466647077,-0.0005617925259056022,2.0,,,,,,
fold,ols,r2_f3,328,83,3.1949628264182053,2.451366451424104,0.47107116844339647,2.0,,,,,,
fold,ridge_alpha_grid,r2_f3,328,83,3.1842563792991565,2.4341778521358286,0.47461015183028243,2.0,10.0,,,,,
fold,knn_k7,r2_f3,328,83,3.5118710481962583,2.614113597246128,0.3609383692708684,2.0,,,,,,
fold,mean_baseline,r2_f4,331,80,4.629441900744062,3.9530173716012085,-0.021419059902576754,2.0,,,,,,
fold,ols,r2_f4,331,80,3.123630155279252,2.4155625636981903,0.5349861425639315,2.0,,,,,,
fold,ridge_alpha_grid,r2_f4,331,80,3.102159081120401,2.405116922791316,0.541356955711744,2.0,10.0,,,,,
fold,knn_k7,r2_f4,331,80,3.846983313226729,2.9214285714285717,0.29467823366417967,2.0,,,,,,
fold,mean_baseline,r2_f5,327,84,5.255350957120779,4.518672637250619,-0.0019245623315746752,2.0,,,,,,
fold,ols,r2_f5,327,84,4.556413304084778,3.419001611344432,0.24685638559799716,2.0,,,,,,
fold,ridge_alpha_grid,r2_f5,327,84,4.5338660100353305,3.4222421978793114,0.2542917666825041,2.0,10.0,,,,,
fold,knn_k7,r2_f5,327,84,4.842157003952186,3.970918367346939,0.14943147093119302,2.0,,,,,,
fold,mean_baseline,r3_f1,331,80,4.349672233428307,3.500370090634436,-0.05061042047796627,3.0,,,,,,
fold,ols,r3_f1,331,80,2.8844448661282702,2.1195863369925916,0.5379881402519479,3.0,,,,,,
fold,ridge_alpha_grid,r3_f1,331,80,2.893729810197916,2.1179612949117113,0.535008947531151,3.0,10.0,,,,,
fold,knn_k7,r3_f1,331,80,3.5946356716981613,2.8751785714285694,0.28247275016782825,3.0,,,,,,
fold,mean_baseline,r3_f2,327,84,5.29285374863179,4.287876802096987,-0.0020261980881246533,3.0,,,,,,
fold,ols,r3_f2,327,84,3.1939433963816892,2.3110625011497326,0.6351169249811341,3.0,,,,,,
fold,ridge_alpha_grid,r3_f2,327,84,3.182843672364849,2.3100515818755296,0.6376486316455755,3.0,10.0,,,,,
fold,knn_k7,r3_f2,327,84,3.795626223122607,2.9887755102040834,0.48469285336267065,3.0,,,,,,
fold,mean_baseline,r3_f3,324,87,4.51880357335202,3.482116503476656,-0.0031194141713744017,3.0,,,,,,
fold,ols,r3_f3,324,87,4.193133544033897,3.285744056984457,0.13625987137246287,3.0,,,,,,
