alpha,fold,rmse,mae,r2,selected_alpha
0.0,1,4.158103595458344,3.2119692270005014,0.30962300308371027,10.0
0.1,1,4.157764833982065,3.2115776170933796,0.30973548878708523,10.0
1.0,1,4.154757283459156,3.2080775306575116,0.31073374368000806,10.0
10.0,1,4.12841834091386,3.1755048584124292,0.31944520287277955,10.0
100.0,1,4.054320689353368,3.0611958328845423,0.343655429028645,10.0
0.0,2,3.1485831190919535,2.6569820528950223,0.5818549157463963,10.0
0.1,2,3.1485702747043636,2.6569430019193105,0.5818583273168537,10.0
1.0,2,3.1484974623222874,2.6565948850467223,0.5818776665956618,10.0
10.0,2,3.1514899462281294,2.653417628639408,0.5810824816032234,10.0
100.0,2,3.3168562605354417,2.6886149641999038,0.5359658182159377,10.0
0.0,3,3.6703930194188743,2.5148945245030467,0.4388760628523931,10.0
0.1,3,3.6707480468190092,2.515042914998126,0.43876750553646304,10.0
1.0,3,3.673918652625955,2.516356238723516,0.437797558549484,10.0
10.0,3,3.7033584115258695,2.533275873427752,0.4287514040963082,10.0
100.0,3,3.88467393978433,2.765441947500208,0.37144570319449655,10.0
0.0,4,3.875096898877039,2.6596735458192438,0.288934161180737,10.0
0.1,4,3.874339284988953,2.6591451836166224,0.2892121726511102,10.0
1.0,4,3.8675935998015123,2.654414544598582,0.2916851500804758,10.0
10.0,4,3.8067898618024323,2.611626307210904,0.31378139401520355,10.0
100.0,4,3.5632972757863577,2.5921949371869113,0.3987587170808582,10.0
