pitch_type,pitches,avg_velocity,avg_release_extension,avg_pfx_x,avg_pfx_z,swings,whiffs,out_of_zone_pitches,chases,batted_balls,hard_hits,avg_run_value,whiff_rate,chase_rate,hard_hit_rate
FF,7428,94.17244211093161,6.510850834679591,-0.3288287560581583,1.3248061389337642,3560,707,3171,693,2667,653,-0.0030267905223478734,0.19859550561797754,0.2185430463576159,0.24484439445069367
SI,4072,93.35844793713163,6.397495088408644,-0.6233644400785855,0.6168123772102161,1796,241,1686,391,1447,440,0.0008553536345776028,0.13418708240534521,0.23190984578884935,0.304077401520387
SL,3497,85.67858164140692,6.3741206748641694,0.11833571632828138,0.1560194452387761,1709,568,1872,592,1060,291,-0.0016211038032599371,0.3323581041544763,0.3162393162393162,0.27452830188679245
CH,2597,85.6291490180978,6.411205236811706,-0.5530727762803235,0.39230650750866386,1271,377,1564,493,816,196,-0.0023669618790912593,0.2966168371361133,0.31521739130434784,0.24019607843137256
ST,2076,82.17394026974952,6.315703275529865,0.7057466281310213,0.12394026974951831,909,283,1184,337,585,128,-0.00044605009633911347,0.31133113311331134,0.2846283783783784,0.2188034188034188
FC,1909,89.61136720796229,6.397223677317967,0.08822943949711891,0.7126610790990048,914,202,912,242,679,158,-0.005604504976427449,0.2210065645514223,0.26535087719298245,0.23269513991163476
CU,1625,79.29784615384615,6.418276923076924,0.48106461538461537,-0.83632,678,197,915,262,446,108,0.0027206153846153847,0.29056047197640117,0.2863387978142076,0.242152466367713
FS,903,86.47906976744187,6.577740863787375,-0.7552491694352159,0.2584939091915836,494,176,574,225,287,70,0.010178294573643411,0.3562753036437247,0.39198606271777003,0.24390243902439024
KC,417,82.23741007194245,6.414388489208633,0.5537889688249401,-0.8930935251798562,194,62,233,72,118,35,-0.005705035971223023,0.31958762886597936,0.3090128755364807,0.2966101694915254
FA,98,64.63163265306122,4.548979591836734,-0.7362244897959185,1.118061224489796,37,3,50,7,34,11,-0.06464285714285715,0.08108108108108109,0.14,0.3235294117647059
SV,71,82.01971830985914,6.180281690140845,0.4254929577464789,-0.4204225352112676,33,8,34,7,24,5,-0.0353943661971831,0.24242424242424243,0.20588235294117646,0.20833333333333334
FO,62,84.66612903225807,6.770967741935484,-0.44806451612903225,-0.12306451612903226,32,12,44,16,17,4,0.019661290322580648,0.375,0.36363636363636365,0.23529411764705882
EP,40,48.545,4.3975,-0.42824999999999996,1.32325,15,0,31,8,15,7,-0.09975,0.0,0.25806451612903225,0.4666666666666667
CS,24,64.16666666666667,5.120833333333334,1.0879166666666666,0.30333333333333334,8,1,10,2,6,0,0.026458333333333334,0.125,0.2,0.0
PO,3,94.36666666666667,6.6000000000000005,-0.7533333333333333,1.5133333333333334,0,0,3,0,0,0,-0.021333333333333333,,0.0,
SC,3,85.26666666666667,5.3999999999999995,-0.7466666666666667,-0.03666666666666666,2,0,0,0,2,0,0.12100000000000001,0.0,,0.0
